<hgeokg/resource/2678466841>	<Point_pois-Adjacent-Line_roads>	<hgeokg/resource/5671182>
<hgeokg/resource/4708888897>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<hgeokg/schema/BusStop>
<hgeokg/resource/719086606>	<hgeokg/schema/layer>	layer--2
<hgeokg/resource/194926851>	<Point_pois-Adjacent-Line_roads>	<hgeokg/resource/1899033652>
<hgeokg/resource/525428785>	<Point_pois-Adjacent-Line_railway>	<hgeokg/resource/643414350>
<hgeokg/resource/167922072>	<Point_pois-Adjacent-Line_roads>	<hgeokg/resource/2610440256>
<hgeokg/resource/525729008>	<Point_pois-Adjacent-Line_roads>	<hgeokg/resource/266033991>
<hgeokg/resource/266170765>	<Point_pois-Adjacent-Line_roads>	<hgeokg/resource/420494981>
<hgeokg/resource/1426276157>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/6501259685>
<hgeokg/resource/266170764>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/266170756>
<hgeokg/resource/1426250385>	<Point_pois-Adjacent-Line_railway>	<hgeokg/resource/823979090>
<hgeokg/resource/823979089>	<Line_railway-Adjacent-Line_railway>	<hgeokg/resource/823979087>
<hgeokg/resource/2676979135>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/266170765>
<hgeokg/resource/163629929>	<Point_pois-Adjacent-Polygon_buildings>	<hgeokg/resource/1752843998>
<hgeokg/resource/1426250385>	<http://www.w3.org/2000/01/rdf-schema#label>	Starbucks
<hgeokg/resource/1487449793>	<Point_pois-Adjacent-Polygon_buildings>	<hgeokg/resource/86121621>
<hgeokg/resource/2716231113>	<hgeokg/schema/addrHousenumber>	addrHousenumber-259
<hgeokg/resource/525729008>	<Point_pois-Adjacent-Line_roads>	<hgeokg/resource/2716231259>
<hgeokg/resource/46695596>	<Point_transport-Adjacent-Line_railway>	<hgeokg/resource/3679394774>
<hgeokg/resource/266149302>	<Point_pois-Intersect-Point_pois>	<hgeokg/resource/266149300>
<hgeokg/resource/1426250385>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/1426276157>
<hgeokg/resource/3576199>	<Point_pois-Adjacent-Polygon_buildings>	<hgeokg/resource/163629929>
<hgeokg/resource/266149300>	<Point_pois-Adjacent-Line_roads>	<hgeokg/resource/569345543>
<hgeokg/resource/137716320>	<Line_roads-Adjacent-Polygon_buildings>	<hgeokg/resource/569345542>
<hgeokg/resource/86121621>	<hgeokg/schema/nycdoittBin>	nycdoittBin-1087268
<hgeokg/resource/6262714386>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/3576199>
<hgeokg/resource/525729008>	<Point_pois-Adjacent-Line_roads>	<hgeokg/resource/2716231115>
<hgeokg/resource/702540318>	<Point_pois-Adjacent-Line_railway>	<hgeokg/resource/46695596>
